mot; occurrence
voudra; 2
bourgeoises; 1
commençaient; 3
rouler; 7
vous; 17
sole; 1
pourtant; 109
marquaient; 1
grondante; 1
épanouie; 2
formaient; 1
réfléchissez; 1
dormez; 1
fâcherons; 1
sermonnant; 1
fossettes; 1
empoisonne; 1
sainte-anne; 11
inventions; 2
hollandais; 1
pincer; 19
tourments; 1
tisane; 5
voulue; 1
persienne; 2
genoux; 28
contemplation; 1
foucades; 1
indienne; 1
obligeants; 2
reprendrai; 1
numérote; 1
succès; 6
visaient; 1
écrous; 1
calme; 12
oh; 132
matelas; 18
blesse; 1
boulonniers; 1
précisa; 1
compliqué; 1
appelant; 3
égayer; 2
soupçonnait; 1
républicains; 1
intérieures; 1
luisait; 5
amuse; 3
osent; 1
bannière; 1
marguerite; 1
bijoux; 4
estropier; 1
soigné; 1
seigneur; 4
derrière; 27
attrapant; 1
planté; 7
affolée; 2
calcula; 1
triomphante; 1
ouvrit; 8
arrive; 12
évaporaient; 1
tripière; 11
sapin; 4
trempé; 8
crochets; 1
bâclé; 1
alignait; 1
dommage; 3
gênant; 2
donc; 182
peintres; 8
lamartine; 1
derniers; 9
toiles; 6
semblable; 3
intolérable; 1
canaille; 8
lui-même; 1
adressa; 1
cogne; 3
rentrât; 1
carrée; 4
halte; 1
plaisaient; 1
pile; 2
affiché; 1
choquèrent; 1
cheval; 3
coupât; 1
procès; 2
derrières; 2
cendre; 7
drôleries; 1
osait; 18
cabrioler; 1
enragé; 6
rageuse; 1
connus; 1
soûlardes; 1
voyaient; 4
bouillons; 2
histoires; 15
élevaient; 2
boire; 44
événement; 1
discutez; 1
paye; 3
confidences; 6
méfiais; 1
bourguignon; 4
songer; 8
crevé; 8
bâcle; 1
tâchant; 3
soûlards; 7
indigestions; 1
adorent; 1
disaient; 16
quatorze; 9
résistant; 1
rejeta; 2
objet; 1
demi-douzaine; 2
mettons; 1
mousseline; 12
ravagé; 2
noyées; 1
amèrement; 2
chatouillant; 2
